time,total_queue_length,waiting_for_seat_count,occupied_seats,finished_students,seat_utilization
711,2,0,53,1,0.5300
712,1,0,54,1,0.5400
713,1,0,54,1,0.5400
714,1,0,54,1,0.5400
715,1,0,54,1,0.5400
716,1,0,54,1,0.5400
717,0,0,55,1,0.5500
718,0,0,55,1,0.5500
719,0,0,55,1,0.5500
720,0,0,55,1,0.5500
721,1,0,55,1,0.5500
722,1,0,55,1,0.5500
723,1,0,55,1,0.5500
724,1,0,55,1,0.5500
725,1,0,55,1,0.5500
726,1,0,55,1,0.5500
727,1,0,55,1,0.5500
728,1,0,55,1,0.5500
729,1,0,54,2,0.5400
730,1,0,54,2,0.5400
731,1,0,54,2,0.5400
732,1,0,54,2,0.5400
733,1,0,54,2,0.5400
734,1,0,54,2,0.5400
735,1,0,54,2,0.5400
736,1,0,54,2,0.5400
737,1,0,54,2,0.5400
738,1,0,54,2,0.5400
739,1,0,54,2,0.5400
740,2,0,54,2,0.5400
741,3,0,54,2,0.5400
742,3,0,54,2,0.5400
743,2,0,55,2,0.5500
744,2,0,55,2,0.5500
745,2,0,55,2,0.5500
746,2,0,55,2,0.5500
747,3,0,55,2,0.5500
748,3,0,54,3,0.5400
749,3,0,54,3,0.5400
750,3,0,54,3,0.5400
751,3,0,54,3,0.5400
752,3,0,54,3,0.5400
753,4,0,54,3,0.5400
754,4,0,54,3,0.5400
755,4,0,54,3,0.5400
756,4,0,54,3,0.5400
757,4,0,54,3,0.5400
758,4,0,54,3,0.5400
759,3,0,55,3,0.5500
760,4,0,55,3,0.5500
761,5,0,55,3,0.5500
762,5,0,55,3,0.5500
763,5,0,55,3,0.5500
764,5,0,55,3,0.5500
765,4,0,56,3,0.5600
766,4,0,55,4,0.5500
767,4,0,55,4,0.5500
768,4,0,55,4,0.5500
769,4,0,55,4,0.5500
770,4,0,55,4,0.5500
771,4,0,55,4,0.5500
772,5,0,55,4,0.5500
773,5,0,55,4,0.5500
774,4,0,56,4,0.5600
775,3,0,57,4,0.5700
776,3,0,57,4,0.5700
777,3,0,57,4,0.5700
778,3,0,57,4,0.5700
779,3,0,57,4,0.5700
780,3,0,57,4,0.5700
781,1,0,59,4,0.5900
782,1,0,59,4,0.5900
783,1,0,59,4,0.5900
784,1,0,59,4,0.5900
785,1,0,59,4,0.5900
786,1,0,59,4,0.5900
787,1,0,59,4,0.5900
788,0,0,60,4,0.6000
789,0,0,60,4,0.6000
790,0,0,60,4,0.6000
